Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
plam,-0.0076228,-0.053429,-0.061333,0,0,0,0.18148,0.00050614,-1.22E-05,-4.07E-06,0.00036176,-6.26E-05,0.00021575,0,0,0,0,0,0,package://dexhand_v1_3/meshes/plam.STL,0,0,0,1,0,0,0,0,0,0,package://dexhand_v1_3/meshes/plam.STL,plam_material,手掌V1.1.STEP-1;手掌盖板V1.1.STEP-1;HX_12H_侧面支架2.STEP-4;HX_12H_侧面支架2.STEP-5;HX_12H_侧面支架2.STEP-2;HX_12H_底面支架1.STEP-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
finger1,0.0018001,-0.00014839,7.75E-05,0,0,0,0.014912,8.81E-07,-2.87E-09,-2.04E-08,1.21E-06,5.13E-09,1.72E-06,0,0,0,0,0,0,package://dexhand_v1_3/meshes/finger1.STL,1,1,1,1,0,0,0,0,0,0,package://dexhand_v1_3/meshes/finger1.STL,finger1_material,HX-12H_舵机（双侧轮�?STEP-7,Origin_finger1_base,,finger1_base,fixed,-0.0079354,-0.0014188,-0.00030677,1.5708,0,-9.74E-05,plam,0,0,0,,,,,,,,,,,,
mcp_link1,0.00011683,0.019109,0.016471,0,0,0,0.029628,5.10E-06,5.13E-09,2.87E-09,4.95E-06,1.91E-08,6.43E-06,0,0,0,0,0,0,package://dexhand_v1_3/meshes/mcp_link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dexhand_v1_3/meshes/mcp_link1.STL,mpc_link1_material,HX_12H_U型支�?.STEP-8;U�?底面_衔接�?STEP-1;HX_12H_底面延长支架1.STEP-3;HX-12H_舵机（单侧轮�?STEP-1,Origin_mcp_joint1,,mcp_joint1,revolute,-0.010657,0.025473,0.00015076,1.7278,-1.5708,0,finger1,1,0,0,1.1,4.9,-0.314,2.23,,,,,,,,
pip_link1,-0.00062072,0.00041479,-0.015195,0,0,0,0.016057,1.85E-06,-2.04E-08,5.13E-09,9.92E-07,-2.95E-09,1.44E-06,0,0,0,0,0,0,package://dexhand_v1_3/meshes/pip_link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dexhand_v1_3/meshes/pip_link1.STL,pip_link1_material,HX_12H_侧面支架2.STEP-10;HX-12H_舵机（双侧轮�?STEP-1,Origin_pip_joint1,,pip_joint1,revolute,0.001317,0.010242,0.031635,-1.5708,0.17361,0,mcp_link1,0,0,1,1.1,4.9,-1.047,1.047,,,,,,,,
dip_link1,-0.00049158,0.006606,0.011523,0,0,0,0.020482,2.73E-06,-2.04E-08,5.13E-09,2.79E-06,-4.14E-09,3.14E-06,0,0,0,0,0,0,package://dexhand_v1_3/meshes/dip_link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dexhand_v1_3/meshes/dip_link1.STL,dip_link1_material,HX_12H_U型支�?.STEP-3;HX_12H_侧面支架2.STEP-6;HX-12H_舵机（双侧轮�?STEP-6,Origin_dip_joint1,,dip_joint1,revolute,-0.00059544,-0.032505,-0.023523,1.8687,0,0,pip_link1,1,0,0,1.1,4.9,-0.506,1.885,,,,,,,,
fingertip_link1,-8.65E-08,-0.002715,0.01845,0,0,0,0.043084,9.64E-06,-1.06E-11,-1.02E-10,1.01E-05,5.59E-07,7.70E-06,0,0,0,0,0,0,package://dexhand_v1_3/meshes/fingertip_link1.STL,0.79216,0,0,1,0,0,0,0,0,0,package://dexhand_v1_3/meshes/fingertip_link1.STL,fingertip_link1_material,HX_12H_U型支�?.STEP-4;手指.STEP-2,Origin_fingertip_joint1,,fingertip_joint1,revolute,-0.00060127,-0.0066508,0.043254,0.26265,0,0,dip_link1,-1,0,0,1.1,4.9,-0.336,2.042,,,,,,,,
finger2,0.0018001,-0.00014839,7.75E-05,0,0,0,0.014912,8.81E-07,-2.87E-09,-2.04E-08,1.21E-06,5.13E-09,1.72E-06,0,0,0,0,0,0,package://dexhand_v1_3/meshes/finger2.STL,1,1,1,1,0,0,0,0,0,0,package://dexhand_v1_3/meshes/finger2.STL,finger2_material,HX-12H_舵机（双侧轮�?STEP-10,Origin_finger2_base,,finger2_base,fixed,-0.00793,0.054181,-0.00030677,1.5708,0,-9.74E-05,plam,0,0,0,,,,,,,,,,,,
mcp_link2,0.00011683,0.019109,0.016471,0,0,0,0.029628,5.10E-06,5.13E-09,2.87E-09,4.95E-06,1.91E-08,6.43E-06,0,0,0,0,0,0,package://dexhand_v1_3/meshes/mcp_link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dexhand_v1_3/meshes/mcp_link2.STL,mpc_link2_material,HX_12H_U型支�?.STEP-1;U�?底面_衔接�?STEP-3;HX_12H_底面延长支架1.STEP-2;HX-12H_舵机（单侧轮�?STEP-2,Origin_mcp_joint2,,mcp_joint2,revolute,-0.012541,0.025102,0.00015077,-1.5708,-1.5708,0.23194,finger2,1,0,0,1.1,4.9,-0.314,2.33,,,,,,,,
pip_link2,-0.00062072,0.00041479,-0.015195,0,0,0,0.016057,1.85E-06,-2.04E-08,5.13E-09,9.92E-07,-2.95E-09,1.44E-06,0,0,0,0,0,0,package://dexhand_v1_3/meshes/pip_link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dexhand_v1_3/meshes/pip_link2.STL,pip_link2_material,HX_12H_侧面支架2.STEP-9;HX-12H_舵机（双侧轮�?STEP-8,Origin_pip_joint2,,pip_joint2,revolute,-0.00086083,0.010242,0.031716,-1.5708,-0.09947,0,mcp_link2,0,0,1,1.1,4.9,-1.047,1.047,,,,,,,,
dip_link2,-0.00049158,0.006606,0.011523,0,0,0,0.020482,2.73E-06,-2.04E-08,5.13E-09,2.79E-06,-4.14E-09,3.14E-06,0,0,0,0,0,0,package://dexhand_v1_3/meshes/dip_link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://dexhand_v1_3/meshes/dip_link2.STL,dip_link2_material,HX_12H_U型支�?.STEP-5;HX_12H_侧面支架2.STEP-7;HX-12H_舵机（双侧轮�?STEP-5,Origin_dip_joint2,,dip_joint2,revolute,-0.00059544,-0.031995,-0.025019,1.9303,0,0,pip_link2,1,0,0,1.1,4.9,-0.506,1.885,,,,,,,,
