Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0174205581189087,0.0118841867371313,0.154947000770574,0,0,0,42.467827585255,0.379671525908869,-0.00215707368254018,-0.00562783500623309,0.714259639895206,-0.000208962218248609,0.8499070652385,0,0,0,0,0,0,package://robot_test2/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_test2/meshes/base_link.STL,,HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.05_FR-V4.0控制箱-带IO-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.01.05_中间支架-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.01.04_铰接梁-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.01.03_万向轮支架-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.01.01_底板-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.03_机械臂法奥FR3装配（可转动）-1/FR3-A-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.01.15_底部电气安装架-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.26_DC隔离电源-2;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.26_DC隔离电源-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.25_夹爪控制器-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.24_英特尔NUC11PHKi7CAA幻影峡谷-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.23_路由器G806-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.06_带座轴承BGF01-6900ZZ-h40-2;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.06_带座轴承BGF01-6900ZZ-h40-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.03_万向轮2.1寸单轮-2;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.03_万向轮2.1寸单轮-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.02_驱动器DC8A16A24A-3;HY-JXB00.01.00_底盘装配-1/HY-JXB00.01.14_导向条-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.01.13_相机底座-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.01.12_升降杆-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.11_防水音箱-3;HY-JXB00.01.00_底盘装配-1/HY-JXB00.01.11_电气板支架-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.01.10_音箱支架-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.12_拾音器-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.09_控制板-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.01.09_电气安装板-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.07_海康威视工业相机-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.01.08_相机固定支架B-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.01.06_固定杆-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.01.07_相机固定支架A-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.01.22_绑线架B-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.01.21_绑线架A-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.13_散热风扇ZHJ02-60-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.01.20_前摄像头安装支架-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.17_摄像头D435i-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.08_工控机研华UNO-238-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.01.19_机械臂控制箱固定支架-4;HY-JXB00.01.00_底盘装配-1/HY-JXB00.01.19_机械臂控制箱固定支架-3;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.30_空气开关-CZ1014D-IC65N-C25A-2P-2;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.30_空气开关-CZ1014D-IC65N-C25A-2P-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.29_卡轨-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.28_接触器-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.01.18_控制板安装支架-2;HY-JXB00.01.00_底盘装配-1/HY-JXB00.01.04_铰接梁-2;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.27_48V20AH锂电池-1;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.02_驱动器DC8A16A24A-4;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.13_散热风扇ZHJ02-60-2;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.06_带座轴承BGF01-6900ZZ-h40-4;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.06_带座轴承BGF01-6900ZZ-h40-3;HY-JXB00.01.00_底盘装配-1/镜向HY-JXB00.01.15_底部电气安装架-2;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.03_万向轮2.1寸单轮-3;HY-JXB00.01.00_底盘装配-1/HY-JXB00.01.14_导向条-2;HY-JXB00.01.00_底盘装配-1/镜向HY-JXB00.01.04_铰接梁-2;HY-JXB00.01.00_底盘装配-1/镜向HY-JXB00.01.11_电气板支架-3;HY-JXB00.01.00_底盘装配-1/镜向HY-JXB00.01.11_电气板支架-4;HY-JXB00.01.00_底盘装配-1/HY-JXB00.01.11_电气板支架-3;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.28_接触器-2;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.28_接触器-3;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-19;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-18;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-17;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-16;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-15;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-14;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-13;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-12;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-11;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-10;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-9;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-8;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-7;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-6;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-5;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-4;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-3;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-2;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-30;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-29;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-28;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-27;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-26;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-25;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-24;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-23;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-22;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-21;HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.31_接线端子 菲尼克斯  PTTB2.5-20;HY-JXB00.02.00_外壳装配-1/HY-JXB00.WG.19_灯带ZJLED-R250-A90H19-LBHY-1;HY-JXB00.02.00_外壳装配-1/HY-JXB00.02.04_过线孔盖板-1;HY-JXB00.02.00_外壳装配-1/HY-JXB00.WG.21_天线-CZ0337D-110mm-1;HY-JXB00.02.00_外壳装配-1/HY-JXB00.02.03_检修盖板-1;HY-JXB00.02.00_外壳装配-1/HY-JXB00.02.02_两侧外壳-1;HY-JXB00.02.00_外壳装配-1/HY-JXB00.WG.20_安全触边-1;HY-JXB00.02.00_外壳装配-1/HY-JXB00.WG.15_施耐德选择开关xb4_bk123b5-1;HY-JXB00.02.00_外壳装配-1/HY-JXB00.WG.14_急停按钮-CZ1158D-XB2BS542C（标准）-1;HY-JXB00.02.00_外壳装配-1/HY-JXB00.WG.16_凌科航插LP20-1;HY-JXB00.02.00_外壳装配-1/HY-JXB00.02.01_外壳-1;HY-JXB00.02.00_外壳装配-1/HY-JXB00.WG.20_安全触边-2;HY-JXB00.02.00_外壳装配-1/HY-JXB00.WG.19_灯带ZJLED-R250-A90H19-LBHY-2;HY-JXB00.02.00_外壳装配-1/HY-JXB00.WG.21_天线-CZ0337D-110mm-2;HY-JXB00.02.00_外壳装配-1/HY-JXB00.02.02_两侧外壳-2,baselink,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_left_link,-0.00054928823116606,0.000105913900703788,-0.00599337263640198,0,0,0,0.0285277898819827,6.59852199083716E-06,-6.00722207531335E-11,-1.28572342414589E-10,6.60082070729698E-06,4.18065938760799E-12,1.27269366305604E-05,0,0,0,0,0,0,package://robot_test2/meshes/wheel_left_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_test2/meshes/wheel_left_link.STL,,HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.01_驱动轮ZL-XZS-400B-JC48-45-160-[   ]-WQD(1)-1,left_wheel,wheel_axis,wheel_left_joint,continuous,0,0.261,0,-1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
wheel_right_link,0.000549288231166062,0.000105913900703788,0.00599337263640198,0,0,0,0.0285277898819827,6.59852199083716E-06,6.00722207531355E-11,-1.28572342414597E-10,6.60082070729698E-06,-4.18065938760452E-12,1.27269366305604E-05,0,0,0,0,0,0,package://robot_test2/meshes/wheel_right_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_test2/meshes/wheel_right_link.STL,,HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.01_驱动轮ZL-XZS-400B-JC48-45-160-[   ]-WQD(1)-2,right_wheel,wheel_axis,wheel_right_joint,continuous,0,-0.261,0,-1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,
imu_link,0.000792082858284526,1.38777878078145E-17,-0.012670204993692,0,0,0,0.0468512388980384,8.11807645296422E-06,-3.95404361424383E-21,-1.02754012116106E-08,1.1732532946275E-05,-4.70553831773323E-21,1.50539519804819E-05,0,0,0,0,0,0,package://robot_test2/meshes/imu_link.STL,1,1,1,1,0,0,0,0,0,0,package://robot_test2/meshes/imu_link.STL,,HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.10_陀螺仪-1,imu,,imu_joint,fixed,-0.132,0.001,0.257,0,0,0,base_link,0,0,0,,,,,,,,,,,,
base_scan,-0.0792700269732225,-0.000502782516134966,-0.0221945303898931,0,0,0,0.000292612751414373,4.92906410371702E-09,-1.77494869219624E-14,1.01452239690971E-10,2.40304678421701E-09,-2.22399477126053E-15,5.79098388231232E-09,0,0,0,0,0,0,package://robot_test2/meshes/base_scan.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://robot_test2/meshes/base_scan.STL,,HY-JXB00.02.00_外壳装配-1/HY-JXB00.WG.18_激光雷达rplidar-s2-model-3d-igs-1,radar,,scan_joint,fixed,0.18,0,0.36849,0,0,0,base_link,0,0,0,,,,,,,,,,,,
link1,2.97152569660691E-07,0.00236567799683342,0.136775029632713,0,0,0,0.803353510183975,0.00128935183974677,-1.78575207831168E-08,5.14845312136194E-09,0.00125939312938721,-1.44258836603594E-05,0.000888927616893148,0,0,0,0,0,0,package://robot_test2/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://robot_test2/meshes/link1.STL,,HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.03_机械臂法奥FR3装配（可转动）-1/FR3-B-1,link1,link1_axis,joint1,revolute,0,0,0.34,0,0,0,base_link,0,0,-1,100,1,-1.04,1.04,,,,,,,,
link2,0.141104522287816,-3.4458406003024E-06,0.111083672578934,0,0,0,1.78926951447336,0.00283547094830587,1.35591107410525E-07,-1.20962473406741E-12,0.00303438375025343,2.84489431370499E-13,0.00223328364456848,0,0,0,0,0,0,package://robot_test2/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://robot_test2/meshes/link2.STL,,HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.03_机械臂法奥FR3装配（可转动）-1/FR3-C-1,link2,link2_axis,joint2,revolute,0,0,0.1398,-1.5708,0,0,link1,0,0,-1,100,1,0,1.57,,,,,,,,
link3,0.190154255624647,-6.75055824217452E-06,0.00274387686277789,0,0,0,0.83113315137948,0.001077089530777,2.577809545262E-07,1.30500675000664E-05,0.00131010400909693,1.10597883553007E-07,0.00109575387365419,0,0,0,0,0,0,package://robot_test2/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://robot_test2/meshes/link3.STL,,HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.03_机械臂法奥FR3装配（可转动）-1/FR3-D-1,link3,link3_axis,joint3,revolute,0.28,0,0,0,0,0,link2,0,0,-1,100,1,-3.1,3.1,,,,,,,,
link4,-5.88880082696974E-07,0.00187955992892674,0.0981687619974253,0,0,0,0.603415921671563,0.000775549734839378,1.29092575372125E-09,-1.2208764937256E-08,0.000558837355346361,-1.06121539953557E-05,0.000737087880105046,0,0,0,0,0,0,package://robot_test2/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://robot_test2/meshes/link4.STL,,HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.03_机械臂法奥FR3装配（可转动）-1/FR3-E-1,link4,link4_axis,joint4,revolute,0.24001,0,0,0,0,0,link3,0,0,1,100,1,-3.1,3.1,,,,,,,,
link5,9.39708961050778E-05,-0.0311160805250904,0.0994987118605377,0,0,0,0.997645402554048,0.000985308718469052,-1.3826063323458E-07,-1.0002829057876E-07,0.000871047644003797,1.06558849617083E-05,0.000946867705820925,0,0,0,0,0,0,package://robot_test2/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://robot_test2/meshes/link5.STL,,HY-JXB00.01.00_底盘装配-1/HY-JXB00.WG.03_机械臂法奥FR3装配（可转动）-1/FR3-F-1,link5,link5_axis,joint5,revolute,0,0,0.1018,-1.5708,0,0,link4,0,0,1,100,1,-3.1,3.1,,,,,,,,
